区分No.,区分別No.,区分名,ファイル名,URL
1,1,お知らせ,急時の連絡について.pdf,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAAQj6qJrNOM-8jBfLHqKLqIa/00%20%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B?dl=0&subfolder_nav_tracking=1
1,2,お知らせ,20201127　冬季ネビット全体会議の中止連絡について.pdf,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAAQj6qJrNOM-8jBfLHqKLqIa/00%20%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B?dl=0&preview=20201127%E3%80%80%E5%86%AC%E5%AD%A3%E3%83%8D%E3%83%93%E3%83%83%E3%83%88%E5%85%A8%E4%BD%93%E4%BC%9A%E8%AD%B0%E3%81%AE%E4%B8%AD%E6%AD%A2%E9%80%A3%E7%B5%A1%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6.pdf&subfolder_nav_tracking=1
1,3,お知らせ,20201127　年末年始の注意事項.pdf,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAAQj6qJrNOM-8jBfLHqKLqIa/00%20%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B?dl=0&preview=20201127%E3%80%80%E5%B9%B4%E6%9C%AB%E5%B9%B4%E5%A7%8B%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85.pdf&subfolder_nav_tracking=1
2,1,申請書,01稟議書.xls,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAD1effn4O9wGQ5NzPmDZDs5a/02%20%E5%B1%8A%E5%87%BA%E7%94%A8%E7%B4%99?dl=0&preview=01%E7%A8%9F%E8%AD%B0%E6%9B%B8.xls&subfolder_nav_tracking=1
3,1,勤務時間報告書,勤怠報告表（2023年） -残業積上.xlsx,https://www.dropbox.com/sh/i7rqce2hit8qp71/AADN0xsMOfGrBB__JfIk9SvUa/90%20%E5%8B%A4%E5%8B%99%E6%99%82%E9%96%93%E5%A0%B1%E5%91%8A%E6%9B%B8/2023?dl=0&preview=%E5%8B%A4%E6%80%A0%E5%A0%B1%E5%91%8A%E8%A1%A8%EF%BC%882023%E5%B9%B4%EF%BC%89+-%E6%AE%8B%E6%A5%AD%E7%A9%8D%E4%B8%8A.xlsx&subfolder_nav_tracking=1
4,1,就業規則等,内規：技術者紹介報奨金制度(PDF).pdf,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAANnHEDxS-W1w5FAqHOd4Cta/01%20%E5%B0%B1%E6%A5%AD%E8%A6%8F%E5%89%87%E7%AD%89?dl=0&preview=%E5%86%85%E8%A6%8F%EF%BC%9A%E6%8A%80%E8%A1%93%E8%80%85%E7%B4%B9%E4%BB%8B%E5%A0%B1%E5%A5%A8%E9%87%91%E5%88%B6%E5%BA%A6(PDF).pdf&subfolder_nav_tracking=1
2,2,申請書,02購入レンタル依頼.xls,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAD1effn4O9wGQ5NzPmDZDs5a/02%20%E5%B1%8A%E5%87%BA%E7%94%A8%E7%B4%99?dl=0&preview=02%E8%B3%BC%E5%85%A5%E3%83%AC%E3%83%B3%E3%82%BF%E3%83%AB%E4%BE%9D%E9%A0%BC.xls&subfolder_nav_tracking=1
2,3,申請書,休暇申請.xlsx,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAD1effn4O9wGQ5NzPmDZDs5a/02%20%E5%B1%8A%E5%87%BA%E7%94%A8%E7%B4%99?dl=0&preview=%E4%BC%91%E6%9A%87%E7%94%B3%E8%AB%8B.xlsx&subfolder_nav_tracking=1
1,5,お知らせ,忘年会,https://www.facebook.com
2,4,申請書,申請書,https://www.facebook.com
2,5,申請書,申請書,https://www.facebook.com
2,7,申請書,申請書,https://www.facebook.com
2,8,申請書,申請書,https://www.facebook.com
2,9,申請書,申請書,https://www.facebook.com
4,2,就業規則等,内規：技術者紹介報奨金制度(PDF).pdf,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAANnHEDxS-W1w5FAqHOd4Cta/01%20%E5%B0%B1%E6%A5%AD%E8%A6%8F%E5%89%87%E7%AD%89?dl=0&preview=%E5%86%85%E8%A6%8F%EF%BC%9A%E6%8A%80%E8%A1%93%E8%80%85%E7%B4%B9%E4%BB%8B%E5%A0%B1%E5%A5%A8%E9%87%91%E5%88%B6%E5%BA%A6(PDF).pdf&subfolder_nav_tracking=1
5,1,その他,エクセル,https://www.google.com
5,2,その他,GPT,https://www.google.com
5,3,その他,hello,https://www.goo.com
2,6,申請書,k,https://www.dropbox.com/sh/i7rqce2hit8qp71/AAD1effn4O9wGQ5NzPmDZDs5a/02%20%E5%B1%8A%E5%87%BA%E7%94%A8%E7%B4%99?dl=0&subfolder_nav_tracking=1
1,4,お知らせ,ファミリーマート,https://www.familymart.com
1,6,お知らせ,backlog,https://www.google.com
2,10,申請書,新規課題,https://www.google.com
2,11,申請書,システム,https://www.google.com
3,2,勤務時間報告書,連絡,https://www.google.com
3,3,勤務時間報告書,駐車場,https://www.google.com
3,5,勤務時間報告書,コンテンツ,https://www.google.com
3,7,勤務時間報告書,えええ,https://www.google.com
3,8,勤務時間報告書,jjjjjjjjjj,https://www.google.com
3,4,ui,ghjk,hjk
